M,N,K,latency_ns
32,5120,128,21504.00
32,5120,256,21504.00
32,5120,512,20480.00
32,5120,1024,21504.00
32,5120,2048,23552.00
32,5120,3072,27648.00
32,5120,4096,44032.00
32,5120,5120,51200.00
32,5120,8192,74752.00
32,5120,11008,97280.00
32,5120,13824,117760.00
32,5120,14336,122368.00
32,5120,25600,203776.00
32,5120,27648,217600.00
32,5120,28672,225280.00
32,8192,128,21504.00
32,8192,256,21504.00
32,8192,512,21504.00
32,8192,1024,21504.00
32,8192,2048,34816.00
32,8192,3072,49152.00
32,8192,4096,61440.00
32,8192,5120,75776.00
32,8192,8192,110080.00
32,8192,11008,142336.00
32,8192,13824,174080.00
32,8192,14336,180224.00
32,8192,25600,311807.99
32,8192,27648,333824.01
32,8192,28672,346112.01
32,11008,128,20480.00
32,11008,256,20480.00
32,11008,512,21504.00
32,11008,1024,21504.00
32,11008,2048,47104.00
32,11008,3072,61440.00
32,11008,4096,79872.00
32,11008,5120,95232.00
32,11008,8192,143360.00
32,11008,11008,187392.00
32,11008,13824,231424.00
32,11008,14336,239616.01
32,11008,25600,414720.00
32,11008,27648,445439.99
32,11008,28672,461824.00
32,13824,128,20480.00
32,13824,256,20992.00
32,13824,512,21504.00
32,13824,1024,23552.00
32,13824,2048,56320.00
32,13824,3072,74752.00
32,13824,4096,94208.00
32,13824,5120,113664.00
32,13824,8192,171008.01
32,13824,11008,224255.99
32,13824,13824,277504.00
32,13824,14336,286720.01
32,13824,25600,499711.99
32,13824,27648,537599.98
32,13824,28672,557056.01
32,14336,128,21504.00
32,14336,256,21504.00
32,14336,512,22528.00
32,14336,1024,28672.00
32,14336,2048,56320.00
32,14336,3072,79872.00
32,14336,4096,101376.00
32,14336,5120,123904.00
32,14336,8192,186368.00
32,14336,11008,247807.99
32,14336,13824,308223.99
32,14336,14336,317952.01
32,14336,25600,532480.00
32,14336,27648,603136.00
32,14336,28672,624127.98
32,25600,128,21504.00
32,25600,256,20992.00
32,25600,512,23552.00
32,25600,1024,53248.00
32,25600,2048,91136.00
32,25600,3072,125952.01
32,25600,4096,161792.00
32,25600,5120,196608.01
32,25600,8192,303104.01
32,25600,11008,401407.99
32,25600,13824,499711.99
32,25600,14336,516096.00
32,25600,25600,908288.00
32,25600,27648,980992.02
32,25600,28672,1017344.00
32,27648,128,20992.00
32,27648,256,21504.00
32,27648,512,24576.00
32,27648,1024,57344.00
32,27648,2048,95232.00
32,27648,3072,134143.99
32,27648,4096,172032.00
32,27648,5120,209920.00
