M,N,K,latency_ns
32,14336,128,15040.00
32,14336,256,14992.00
32,14336,512,15888.00
32,14336,1024,17200.00
32,14336,2048,31920.00
32,14336,3072,41280.00
32,14336,4096,50800.00
32,14336,5120,60112.00
32,14336,8192,88128.00
32,14336,11008,114096.00
32,14336,13824,144560.00
32,14336,14336,150160.00
32,14336,25600,263056.01
32,14336,27648,280864.00
32,14336,28672,290352.00
32,25600,128,15056.00
32,25600,256,15696.00
32,25600,512,17184.00
32,25600,1024,30560.00
32,25600,2048,47280.00
32,25600,3072,63936.00
32,25600,4096,80816.00
32,25600,5120,97792.00
32,25600,8192,150544.00
32,25600,11008,210320.00
32,25600,13824,258080.01
32,25600,14336,266592.00
32,25600,25600,452863.99
32,25600,27648,481840.00
32,25600,28672,494048.00
32,27648,128,15104.00
32,27648,256,15872.00
32,27648,512,17872.00
32,27648,1024,31728.00
32,27648,2048,49232.00
32,27648,3072,66800.00
32,27648,4096,84576.00
32,27648,5120,101856.00
32,27648,8192,159696.00
32,27648,11008,210224.00
