M,N,K,measured_ms
4.0,3584.0,14336.0,0.0115199999999999
4.0,3584.0,16384.0,0.05792
4.0,3584.0,18944.0,0.0136149999999999
4.0,3600.0,2880.0,0.0135699999999999
4.0,4096.0,1024.0,0.017952
4.0,4096.0,2048.0,0.017984
4.0,4096.0,2880.0,0.018528
4.0,4096.0,3072.0,0.018816
4.0,4096.0,3584.0,0.018912
4.0,4096.0,4096.0,0.040605
4.0,4096.0,5120.0,0.024128
4.0,4096.0,6144.0,0.03072
4.0,4096.0,7168.0,0.036736
4.0,4096.0,8192.0,0.039168
4.0,4096.0,10240.0,0.044288
4.0,4096.0,12288.0,0.0408
4.0,4096.0,12800.0,0.05168
4.0,4096.0,14336.0,0.03163
4.0,4096.0,16384.0,0.060224
4.0,4608.0,3584.0,0.012145
4.0,5120.0,1024.0,0.018016
4.0,5120.0,2048.0,0.018592
4.0,5120.0,2880.0,0.01936
4.0,5120.0,3072.0,0.019616
4.0,5120.0,3584.0,0.02048
4.0,5120.0,4096.0,0.02496
4.0,5120.0,5112.0,0.0172949999999999
4.0,5120.0,5120.0,0.031008
4.0,5120.0,6144.0,0.034528
4.0,5120.0,7168.0,0.037504
4.0,5120.0,8192.0,0.040864
4.0,5120.0,10240.0,0.047648
4.0,5120.0,12288.0,0.054336
4.0,5120.0,14336.0,0.061408
4.0,5120.0,16384.0,0.067712
4.0,5120.0,17408.0,0.01734
4.0,6144.0,1024.0,0.017952
4.0,6144.0,2048.0,0.019072
4.0,6144.0,2880.0,0.020928
4.0,6144.0,3072.0,0.021312
4.0,6144.0,3584.0,0.028192
4.0,6144.0,4096.0,0.040415
4.0,6144.0,5120.0,0.03872
4.0,6144.0,6144.0,0.04272
4.0,6144.0,7168.0,0.046112
4.0,6144.0,8192.0,0.0504
4.0,6144.0,10240.0,0.058752
4.0,6144.0,12288.0,0.06672
4.0,6144.0,14336.0,0.075488
4.0,6144.0,16384.0,0.083456
4.0,6816.0,5120.0,0.0402099999999999
4.0,7168.0,1024.0,0.017984
4.0,7168.0,2048.0,0.019328
4.0,7168.0,2880.0,0.023648
4.0,7168.0,3072.0,0.027424
4.0,7168.0,3584.0,0.0414899999999999
4.0,7168.0,4096.0,0.0328
4.0,7168.0,5120.0,0.04432
4.0,7168.0,6144.0,0.046688
4.0,7168.0,7168.0,0.04115
4.0,7168.0,8192.0,0.056832
4.0,7168.0,10240.0,0.066496
4.0,7168.0,12288.0,0.077056
4.0,7168.0,14336.0,0.08656
4.0,7168.0,16384.0,0.095584
4.0,7168.0,20480.0,0.0454249999999999
4.0,8192.0,1024.0,0.017824
4.0,8192.0,2048.0,0.019488
4.0,8192.0,2880.0,0.029024
4.0,8192.0,3072.0,0.030336
4.0,8192.0,3584.0,0.032832
4.0,8192.0,4096.0,0.035264
4.0,8192.0,5120.0,0.040384
4.0,8192.0,6144.0,0.04576
4.0,8192.0,7168.0,0.05136
4.0,8192.0,8192.0,0.04509
4.0,8192.0,10240.0,0.067136
4.0,8192.0,12288.0,0.077216
4.0,8192.0,14336.0,0.087648
4.0,8192.0,16384.0,0.098688
4.0,8192.0,28672.0,0.0451
4.0,8192.0,29568.0,0.044865
4.0,9216.0,7168.0,0.0167349999999999
4.0,10240.0,1024.0,0.018336
4.0,10240.0,2048.0,0.024736
4.0,10240.0,2880.0,0.033056
4.0,10240.0,3072.0,0.03456
4.0,10240.0,3584.0,0.037664
4.0,10240.0,4096.0,0.041216
4.0,10240.0,5120.0,0.047328
4.0,10240.0,6144.0,0.054496
4.0,10240.0,7168.0,0.060736
4.0,10240.0,8192.0,0.016785
4.0,10240.0,10240.0,0.081504
4.0,10240.0,12288.0,0.094816
4.0,10240.0,14336.0,0.10848
4.0,10240.0,16384.0,0.121888
4.0,12288.0,1024.0,0.019136
4.0,12288.0,2048.0,0.030624
4.0,12288.0,2880.0,0.037088
4.0,12288.0,3072.0,0.038496
4.0,12288.0,3584.0,0.042464
4.0,12288.0,4096.0,0.024305
4.0,12288.0,5120.0,0.055168
4.0,12288.0,6144.0,0.063008
4.0,12288.0,7168.0,0.071264
4.0,12288.0,8192.0,0.079552
4.0,12288.0,10240.0,0.096224
4.0,12288.0,12288.0,0.111712
4.0,12288.0,14336.0,0.131488
4.0,12288.0,16384.0,0.147904
4.0,12800.0,4096.0,0.0644949999999999
4.0,14336.0,1024.0,0.019296
4.0,14336.0,2048.0,0.035008
4.0,14336.0,2880.0,0.04336
4.0,14336.0,3072.0,0.04464
4.0,14336.0,3584.0,0.0237949999999999
4.0,14336.0,4096.0,0.027075
4.0,14336.0,5120.0,0.065728
4.0,14336.0,6144.0,0.075488
4.0,14336.0,7168.0,0.087488
4.0,14336.0,8192.0,0.097184
4.0,14336.0,10240.0,0.116992
4.0,14336.0,12288.0,0.137216
4.0,14336.0,14336.0,0.158272
4.0,14336.0,16384.0,0.183488
4.0,16384.0,1024.0,0.0192
4.0,16384.0,2048.0,0.0352
4.0,16384.0,2880.0,0.043232
4.0,16384.0,3072.0,0.045344
4.0,16384.0,3584.0,0.050528
4.0,16384.0,4096.0,0.055712
4.0,16384.0,5120.0,0.06624
